model,state,observed,target_family,repeated_queries,p_A_range_upper,answer_agreement
gemma4:12b,state_303,Waterproof_Male,hex_nut,2,1.0598579593742106e-07,True
gemma4:12b,state_303,Waterproof_Male,round_pin,3,6.769555343064151e-07,True
gemma4:12b,state_303,M12_Hex_Nut,gear,3,2.9200260172480082e-05,True
gemma4:12b,state_303,M12_Hex_Nut,hex_nut,2,2.384190336268688e-07,True
gemma4:12b,state_303,M12_Hex_Nut,round_pin,3,6.009531599757026e-07,True
gemma4:12b,state_303,M16_Hex_Nut,gear,3,5.5200139877080445e-05,True
gemma4:12b,state_303,M16_Hex_Nut,hex_nut,2,8.344649901070866e-07,True
gemma4:12b,state_303,M16_Hex_Nut,round_pin,3,1.411668424526775e-07,True
gemma4:12b,state_303,RGOCG16-50_16mm,gear,3,1.7483429548129733e-06,True
gemma4:12b,state_303,RGOCG16-50_16mm,hex_nut,2,4.558428977947583e-08,True
gemma4:12b,state_303,RGOCG16-50_16mm,round_pin,3,1.1920922560193503e-07,True
gemma4:12b,state_303,RGOCG12-50_12mm,gear,3,1.1569956713197297e-06,True
gemma4:12b,state_303,RGOCG12-50_12mm,hex_nut,2,8.374003347813718e-08,True
gemma4:12b,state_303,RGOCG12-50_12mm,round_pin,3,7.152556236178498e-07,True
gemma4:12b,state_303,RGOCG8-50_8mm,gear,3,1.3343475996407936e-06,True
gemma4:12b,state_303,RGOCG8-50_8mm,hex_nut,2,7.212473163272006e-08,True
gemma4:12b,state_303,RGOCG8-50_8mm,round_pin,3,2.3841852225814364e-07,True
gemma4:12b,state_303,USB_Male,gear,3,6.824344292288049e-08,True
gemma4:12b,state_303,USB_Male,hex_nut,2,1.3191624540724065e-08,True
gemma4:12b,state_303,USB_Male,round_pin,3,1.9965422191060042e-05,True
gemma4:12b,state_303,DSUB_Male,gear,3,6.974900165493564e-09,True
gemma4:12b,state_303,DSUB_Male,hex_nut,2,6.08701040285377e-08,True
gemma4:12b,state_303,DSUB_Male,round_pin,3,6.837488698378723e-07,True
